# DELS~J020611.20-025537.8    02:06:11.20 -02:55:37.8     6.00        -25.82
# DELS~J162911.29+240739.6    16:29:11.29 +24:07:39.6     6.476       -26.32
# VDES_J0224-4711         02:24:26.54     -47:11:29.4     6.526       -26.98
         Ref  Ref-Num                              Ref-Name        QSO-Name              IAU-Name            RA           Dec  Redshift  M_1450
  Banados+16      145                PSO~J212.2974--15.9865  QSO_J1409-1559  J140911.38-155911.66   14:09:11.38  -15:59:11.66      5.83  -25.44
  Banados+16      146                       SDSS~J1411+1217  QSO_J1411+1217  J141111.29+121737.28   14:11:11.29   12:17:37.28     5.904  -26.69
  Banados+16      147                PSO~J213.3629--22.5617  QSO_J1413-2233  J141327.12-223342.25   14:13:27.12  -22:33:42.25      5.92  -26.85
  Banados+16      148                        HSC~J1414+0130  QSO_J1414+0130  J141439.54+013036.50   14:14:39.54    01:30:36.5      5.94  -23.58
  Banados+16      149                PSO~J213.7329--13.4803  QSO_J1414-1328  J141455.90-132849.28   14:14:55.90  -13:28:49.28      5.78  -25.69
  Banados+16      150                        HSC~J1416+0015  QSO_J1416+0015  J141612.71+001546.20   14:16:12.71    00:15:46.2      6.03  -22.44
  Banados+16      151                        HSC~J1417+0117  QSO_J1417+0117  J141728.67+011712.40   14:17:28.67    01:17:12.4      6.02  -22.88
  Banados+16      152                PSO~J215.1514--16.0417  QSO_J1420-1602  J142036.34-160230.25   14:20:36.34  -16:02:30.25      5.73  -27.54
  Banados+16      153                       HSC~J1423--0018  QSO_J1423-0018  J142331.71-001809.10   14:23:31.71   -00:18:09.1      6.13  -21.93
  Banados+16      154                      NDWFS~J1425+3254  QSO_J1425+3254  J142516.33+325409.54   14:25:16.33   32:54:09.54    5.8918  -26.47
  Banados+16      155                       HSC~J1425--0015  QSO_J1425-0015  J142517.72-001540.90   14:25:17.72   -00:15:40.9      6.18  -23.49
  Banados+16      156                      FIRST~J1427+3312  QSO_J1427+3312  J142738.59+331242.00   14:27:38.59   33:12:42.00      6.12   -26.1
  Banados+16      157                PSO~J217.0891--16.0453  QSO_J1428-1602  J142821.39-160243.30   14:28:21.39  -16:02:43.30    6.1498  -26.94
  Banados+16      158                       HSC~J1429--0104  QSO_J1429-0104  J142903.08-010443.40   14:29:03.08   -01:04:43.4       6.8   -23.1
  Banados+16      159                       HSC~J1429--0002  QSO_J1429-0002  J142920.22-000207.40   14:29:20.22   -00:02:07.4      6.04  -23.47
